message: {'model_checkpoint': 1,
          'val_accuracy': tensor(0.7856),
          'val_constraints_score': 0.7854368686676025,
          'val_demographic_parity_Job': tensor(0.1012),
          'val_demographic_parity_JobMarital': tensor(0.3837),
          'val_demographic_parity_JobRace': tensor(0.3263),
          'val_demographic_parity_Marital': tensor(0.3219),
          'val_demographic_parity_Race': tensor(0.2804),
          'val_demographic_parity_RaceMarital': tensor(0.4847),
          'val_f1': tensor(0.7854),
          'val_loss': tensor(1.4828),
          'val_precision': tensor(0.7853),
          'val_recall': tensor(0.7856)}
